indice,nome,url_produto,url_imagem,arquivo_imagem
69,Cestos de Lixo com Tampa Basculante 23 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-23-litros-tampa-basculante,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/CESTO-23L-TP-BASC-BR.png?fit=1000%2C1000&ssl=1,imagens\CESTO-23L-TP-BASC-BR.png
70,Cestos de Lixo Com Tampa Flip-Top 23 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-23-litros-tampa-flip-top,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/CESTO-23L-TP-FLIP-BR.png?fit=1000%2C1000&ssl=1,imagens\CESTO-23L-TP-FLIP-BR.png
71,Cestos de Lixo 60 Litros Redondo - LAR Plásticos - Muito mais Qualidade,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-60-litros-redondo,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/02/cesto-de-lixo-redondo-para-restaurante.jpg?fit=480%2C480&ssl=1,imagens\cesto-de-lixo-redondo-para-restaurante.jpg
72,Cestos de Lixo Redondo Com Pedal 100 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-redondo-com-pedal-100-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/02/Cesto-Redondo-100-Litros-Com-Tampa-E-Pedal.jpg?fit=400%2C400&ssl=1,imagens\Cesto-Redondo-100-Litros-Com-Tampa-E-Pedal.jpg
73,Cestos de Lixo Redondo Com Pedal 60 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-redondo-com-pedal-60-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/02/lixeira-redonda-hospitalar-60-Litros.jpg?fit=480%2C480&ssl=1,imagens\lixeira-redonda-hospitalar-60-Litros.jpg
74,CONE BARRIL BASE QUADRADA - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/cone-barril/cone-barril-base-quadrada/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2024/02/Cone-norma-1.png?fit=1000%2C1000&ssl=1,imagens\Cone-norma-1.png
75,Ecoponto 2500 Litros - PEV (Ponto de entrega Voluntária) - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/Ecoponto-2500-Litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2018/07/ecoponto-verde-2500-litros-1.jpg?fit=480%2C480&ssl=1,imagens\ecoponto-verde-2500-litros-1.jpg
76,Container de Lixo 1000 Litros Com Pedal - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-Lixo-1000-litros-com-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/11/container-1000-litros-com-pedal-lar-plasticos.gif?fit=400%2C400&ssl=1,imagens\container-1000-litros-com-pedal-lar-plasticos.gif
77,Container de Lixo 1000 Litros com Tampa Bipartida - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-Lixo-1000-litros-com-tampa-bipartida,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2018/09/Containers-03.png?fit=2261%2C2161&ssl=1,imagens\Containers-03.png
78,Container de Lixo 1000 Litros Sem Pedal - LAR Plásticos,https://www.larplasticos.com.br/produtos/containers-de-lixo/container-de-Lixo-1000-litros-sem-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/Contentor-1000L-Amarelo-.jpg?fit=1000%2C1000&ssl=1,imagens\Contentor-1000L-Amarelo-.jpg
